Date;Région;Département;Type de ligne;Matériel;Coût par minute;Durée de communication;Coût de communication;Qualité de la communication
01/04/2021;Grand;Est;Fixe;Logicom Nova 350;0,09;20;1,8;6
01/03/2024;Vermont;RH;Fixe;Logicom Nova 350;0,12;55;6,6;5
01/06/2021;Hauts-De-France;Achats;Fixe;Siemens Gigaset a400;0,11;30;3,3;5
01/10/2021;Centre-Val;de;Fixe;Logicom Nova 350;0,11;70;7,7;2
01/06/2024;Corse;Production;Fixe;Siemens Gigaset a400;0,12;60;7,2;9
01/12/2022;Terre-Neuve-et-Labrador;Ventes;Mobile;Samsung Galaxy;0,09;75;6,75;5
01/04/2023;Wisconsin;Ventes;Fixe;Logicom Nova 350;0,12;45;5,4;6
01/05/2021;Ohio;SI;Mobile;Apple iPhone;0,1;60;6;6
01/01/2024;West;Virginia;Fixe;Alcatel Versatis;0,11;15;1,65;6
01/11/2024;Missouri;Marketing;Fixe;Siemens Gigaset a400;0,11;10;1,1;8
01/01/2023;Île-de-France;Direction;VoIP;Thomson st2030;0,12;75;9;9
01/11/2023;Auvergne-Rhône-Alpes;Production;VoIP;Thomson st3030;0,11;15;1,65;3
01/02/2023;Alaska;R&D;Fixe;Siemens Gigaset a400;0,1;5;0,5;8
01/05/2023;Nevada;SI;Fixe;Alcatel Versatis;0,11;5;0,55;5
01/10/2022;Pennsylvania;RH;VoIP;Thomson st2030;0,11;10;1,1;7
01/07/2021;Occitanie;Production;Fixe;Logicom Nova 350;0,09;35;3,15;7
01/06/2021;Kansas;RH;Mobile;LG G4;0,11;5;0,55;7
01/12/2022;Pays;de;Mobile;Samsung Galaxy;0,12;55;6,6;2
01/07/2022;Normandie;RH;VoIP;Thomson st3030;0,11;55;6,05;6
01/01/2021;Pennsylvania;Ventes;Mobile;LG G4;0,11;75;8,25;4
01/07/2021;Michigan;Ventes;Fixe;Siemens Gigaset a400;0,12;45;5,4;9
01/12/2023;Montana;Ventes;Fixe;Alcatel Versatis;0,11;30;3,3;5
01/07/2024;Occitanie;SI;VoIP;Thomson st3030;0,1;40;4;5
01/06/2022;Nouvelle-Aquitaine;R&D;VoIP;Thomson st2030;0,12;45;5,4;9
01/12/2022;Provence-Alpes-Côte;d'Azur;VoIP;Cisco SPA 303;0,12;40;4,8;3
01/10/2021;Québec;R&D;Fixe;Logicom Nova 350;0,09;55;4,95;8
01/09/2021;Colombie-Britannique;RH;Fixe;Logicom Nova 350;0,09;70;6,3;3
01/03/2024;Hawaii;Achats;Fixe;Siemens Gigaset a400;0,11;5;0,55;7
01/03/2022;Auvergne-Rhône-Alpes;R&D;Fixe;Siemens Gigaset a400;0,1;45;4,5;3
01/09/2022;Nouvelle-Aquitaine;Juridique;Mobile;Samsung Galaxy;0,09;70;6,3;8
01/03/2023;Nouvelle-Aquitaine;R&D;VoIP;Cisco SPA 303;0,1;45;4,5;2
01/09/2024;Centre-Val;de;VoIP;Cisco SPA 303;0,1;10;1;6
01/03/2021;Écosse;Marketing;Fixe;Alcatel Versatis;0,1;70;7;8
01/09/2024;Massachusetts;Marketing;VoIP;Cisco SPA 303;0,09;70;6,3;6
01/01/2023;Bourgogne-Franche-Comté;Juridique;VoIP;Thomson st2030;0,12;35;4,2;3
01/01/2021;Nebraska;Achats;Mobile;Apple iPhone;0,12;50;6;6
01/12/2024;Maryland;SI;VoIP;Cisco SPA 303;0,1;5;0,5;3
01/09/2021;Nevada;Ventes;Mobile;Apple iPhone;0,1;20;2;8
01/09/2023;Colorado;Finance;Mobile;Samsung Galaxy;0,12;45;5,4;7
01/02/2021;Manitoba;Production;VoIP;Thomson st3030;0,12;10;1,2;2
01/09/2024;Texas;Finance;VoIP;Thomson st3030;0,11;35;3,85;8
01/09/2024;Kansas;Production;Mobile;LG G4;0,09;25;2,25;3
01/04/2022;Florida;SI;VoIP;Thomson st2030;0,12;30;3,6;5
01/05/2022;South;Dakota;Fixe;Siemens Gigaset a400;0,11;65;7,15;8
01/06/2021;Maryland;Ventes;Fixe;Alcatel Versatis;0,11;25;2,75;6
01/02/2024;Virginia;SI;Mobile;Samsung Galaxy;0,11;45;4,95;9
01/11/2022;Angleterre;Achats;Fixe;Siemens Gigaset a400;0,11;20;2,2;10
01/06/2021;Provence-Alpes-Côte;d'Azur;Fixe;Logicom Nova 350;0,09;25;2,25;2
01/01/2023;Bourgogne-Franche-Comté;RH;Fixe;Logicom Nova 350;0,11;60;6,6;4
01/03/2024;North;Carolina;VoIP;Thomson st2030;0,1;5;0,5;5
01/03/2024;Missouri;SI;Mobile;Samsung Galaxy;0,11;50;5,5;9
01/05/2022;North;Carolina;Mobile;Apple iPhone;0,11;30;3,3;6
01/04/2024;Angleterre;SI;Mobile;Samsung Galaxy;0,09;45;4,05;3
01/03/2024;Kansas;Juridique;Mobile;Apple iPhone;0,12;35;4,2;2
01/02/2022;Colorado;RH;Mobile;LG G4;0,12;10;1,2;7
01/06/2023;Saskatchewan;Finance;VoIP;Thomson st2030;0,09;65;5,85;7
01/08/2023;Ontario;R&D;Mobile;Samsung Galaxy;0,09;5;0,45;2
01/10/2022;South;Carolina;Fixe;Siemens Gigaset a400;0,11;70;7,7;10
01/02/2024;Florida;Marketing;VoIP;Cisco SPA 303;0,12;60;7,2;2
01/10/2021;Provence-Alpes-Côte;d'Azur;VoIP;Thomson st2030;0,1;10;1;6
01/11/2023;Nunavut;Juridique;Fixe;Alcatel Versatis;0,09;25;2,25;6
01/07/2022;Wyoming;Ventes;Mobile;Apple iPhone;0,09;5;0,45;3
01/11/2023;California;RH;VoIP;Cisco SPA 303;0,12;15;1,8;5
01/01/2023;North;Carolina;VoIP;Thomson st2030;0,11;10;1,1;5
01/12/2021;South;Dakota;Fixe;Logicom Nova 350;0,1;15;1,5;5
01/03/2023;New;Mexico;Mobile;Apple iPhone;0,1;25;2,5;8
01/10/2021;Utah;Achats;Fixe;Alcatel Versatis;0,11;20;2,2;7
01/03/2023;Terre-Neuve-et-Labrador;Juridique;Mobile;Apple iPhone;0,1;10;1;6
01/05/2021;Grand;Est;Fixe;Siemens Gigaset a400;0,11;10;1,1;7
01/05/2023;Pennsylvania;Direction;Fixe;Logicom Nova 350;0,09;50;4,5;5
01/04/2022;Kansas;Marketing;VoIP;Thomson st3030;0,09;15;1,35;9
01/08/2023;North;Carolina;VoIP;Thomson st3030;0,1;40;4;5
01/06/2023;Corse;Juridique;Fixe;Siemens Gigaset a400;0,09;55;4,95;2
01/04/2021;Nouvelle-Écosse;Finance;Mobile;Apple iPhone;0,11;15;1,65;7
01/05/2021;Pays;de;VoIP;Thomson st3030;0,1;65;6,5;5
01/06/2023;Bourgogne-Franche-Comté;Finance;VoIP;Cisco SPA 303;0,11;30;3,3;8
01/06/2021;South;Carolina;Mobile;Samsung Galaxy;0,1;5;0,5;9
01/03/2021;Ontario;Ventes;VoIP;Thomson st3030;0,12;60;7,2;7
01/03/2023;Connecticut;Direction;Mobile;LG G4;0,11;15;1,65;6
01/01/2021;Kentucky;Marketing;Mobile;Apple iPhone;0,12;35;4,2;3
01/11/2021;New;Jersey;Fixe;Logicom Nova 350;0,11;30;3,3;3
01/03/2021;Wyoming;R&D;Mobile;Samsung Galaxy;0,1;45;4,5;3
01/06/2023;Pennsylvania;R&D;Mobile;Apple iPhone;0,09;15;1,35;9
01/04/2024;Iowa;RH;Fixe;Alcatel Versatis;0,09;10;0,9;9
01/09/2023;New;Hampshire;Fixe;Alcatel Versatis;0,09;70;6,3;10
01/07/2023;Centre-Val;de;Mobile;LG G4;0,09;20;1,8;9
01/03/2022;Missouri;Ventes;Fixe;Logicom Nova 350;0,11;15;1,65;3
01/03/2024;Connecticut;Production;Mobile;Apple iPhone;0,11;35;3,85;6
01/11/2024;Colorado;Ventes;Mobile;LG G4;0,11;45;4,95;2
01/08/2023;Hauts-De-France;R&D;Fixe;Siemens Gigaset a400;0,12;30;3,6;9
01/07/2022;Kentucky;RH;VoIP;Thomson st3030;0,09;70;6,3;5
01/01/2023;Arizona;R&D;Fixe;Logicom Nova 350;0,09;70;6,3;5
01/10/2023;Wyoming;Marketing;Mobile;LG G4;0,12;30;3,6;8
01/06/2022;Nouveau-Brunswick;Ventes;VoIP;Cisco SPA 303;0,09;75;6,75;3
01/11/2024;Virginia;RH;VoIP;Thomson st3030;0,1;20;2;5
01/09/2024;New;Mexico;Mobile;Samsung Galaxy;0,09;55;4,95;2
01/07/2024;Maryland;Production;VoIP;Cisco SPA 303;0,09;30;2,7;9
01/03/2024;New;Hampshire;Fixe;Siemens Gigaset a400;0,21;65;6,8;12
01/04/2023;North;Carolina;VoIP;Thomson st3030;0,09;50;4,5;5
01/02/2022;Maryland;Juridique;VoIP;Cisco SPA 303;0,09;20;1,8;3
01/01/2022;Louisiana;Ventes;VoIP;Thomson st2030;0,1;25;2,5;5
01/02/2022;Grand;Est;VoIP;Cisco SPA 303;0,11;30;3,3;6
01/03/2022;Rhode;Island;VoIP;Thomson st2030;0,1;10;1;10
01/04/2024;Pennsylvania;Juridique;Fixe;Siemens Gigaset a400;0,09;40;3,6;10
01/10/2021;West;Virginia;Fixe;Siemens Gigaset a400;0,12;10;1,2;3
01/10/2021;Grand;Est;Mobile;Apple iPhone;0,1;40;4;8
01/01/2021;Grand;Est;Mobile;Samsung Galaxy;0,12;50;6;4
01/09/2024;Provence-Alpes-Côte;d'Azur;Mobile;Samsung Galaxy;0,12;10;1,2;3
01/09/2021;South;Carolina;Fixe;Siemens Gigaset a400;0,12;60;7,2;2
01/08/2023;Washington;Ventes;Fixe;Siemens Gigaset a400;0,12;55;6,6;8
01/08/2022;Nunavut;Marketing;VoIP;Thomson st2030;0,12;55;6,6;8
01/05/2023;Nouveau-Brunswick;Ventes;Mobile;Apple iPhone;0,09;55;4,95;5
01/06/2021;Montana;RH;VoIP;Thomson st3030;0,11;45;4,95;7
01/09/2023;Maine;Achats;Fixe;Alcatel Versatis;0,1;15;1,5;5
01/06/2022;Bretagne;SI;Mobile;Samsung Galaxy;0,12;20;2,4;9
01/03/2021;Bourgogne-Franche-Comté;Marketing;VoIP;Cisco SPA 303;0,12;55;6,6;6
01/11/2022;Territoires;du;VoIP;Thomson st2030;0,11;50;5,5;8
01/11/2024;Pays;de;Mobile;LG G4;0,11;5;0,55;3
01/04/2021;Nunavut;Achats;Fixe;Alcatel Versatis;0,1;30;3;2
01/10/2021;California;Juridique;VoIP;Thomson st2030;0,09;40;3,6;9
01/10/2021;Oklahoma;Achats;VoIP;Thomson st2030;0,12;50;6;4
01/09/2021;New;Mexico;Fixe;Alcatel Versatis;0,12;45;5,4;4
01/04/2022;Rhode;Island;Fixe;Logicom Nova 350;0,11;25;2,75;6
01/04/2024;Alberta;Marketing;Mobile;Apple iPhone;0,12;55;6,6;2
01/10/2021;Territoires;du;VoIP;Thomson st3030;0,09;15;1,35;7
01/09/2022;Tennessee;RH;Mobile;Samsung Galaxy;0,09;40;3,6;3
01/04/2023;Bretagne;Ventes;VoIP;Thomson st2030;0,1;65;6,5;8
01/11/2021;Georgia;SI;Fixe;Logicom Nova 350;0,09;20;1,8;10
01/10/2022;Auvergne-Rhône-Alpes;Marketing;VoIP;Cisco SPA 303;0,11;40;4,4;6
01/11/2023;Nouveau-Brunswick;Ventes;Mobile;Apple iPhone;0,1;15;1,5;7
01/03/2021;Maryland;Achats;Mobile;LG G4;0,12;20;2,4;4
01/12/2022;West;Virginia;Fixe;Alcatel Versatis;0,09;45;4,05;6
01/01/2021;Pennsylvania;SI;Fixe;Logicom Nova 350;0,11;50;5,5;9
01/03/2023;Bretagne;Direction;Mobile;Apple iPhone;0,12;75;9;3
01/12/2021;New;York;VoIP;Thomson st3030;0,11;5;0,55;8
01/03/2024;Delaware;Direction;Mobile;Samsung Galaxy;0,12;10;1,2;3
01/07/2021;Oregon;RH;Fixe;Logicom Nova 350;0,1;75;7,5;2
01/05/2024;Nouveau-Brunswick;R&D;VoIP;Cisco SPA 303;0,12;45;5,4;6
01/04/2024;Delaware;RH;VoIP;Thomson st3030;0,09;55;4,95;5
01/12/2024;Wisconsin;SI;Fixe;Alcatel Versatis;0,12;45;5,4;2
01/04/2021;Grand;Est;VoIP;Cisco SPA 303;0,09;35;3,15;6
01/05/2021;Iowa;R&D;VoIP;Cisco SPA 303;0,09;5;0,45;8
01/05/2024;Territoires;du;Mobile;Samsung Galaxy;0,1;20;2;7
01/02/2023;Michigan;SI;Fixe;Logicom Nova 350;0,12;10;1,2;4
01/09/2023;Territoires;du;Mobile;Samsung Galaxy;0,11;15;1,65;4
01/04/2023;Virginia;RH;VoIP;Thomson st3030;0,1;5;0,5;6
01/01/2022;Grand;Est;VoIP;Thomson st3030;0,12;55;6,6;10
01/03/2023;Delaware;RH;Mobile;Apple iPhone;0,11;55;6,05;5
01/02/2021;Hauts-De-France;Achats;VoIP;Thomson st2030;0,1;60;6;9
01/05/2022;Hauts-De-France;Juridique;Fixe;Alcatel Versatis;0,12;30;3,6;7
01/03/2022;Pennsylvania;Juridique;Fixe;Siemens Gigaset a400;0,1;55;5,5;10
01/05/2022;Arizona;Finance;Mobile;Samsung Galaxy;0,12;70;8,4;8
01/04/2022;Wisconsin;R&D;VoIP;Thomson st2030;0,1;75;7,5;9
01/12/2024;Wisconsin;Production;Mobile;Samsung Galaxy;0,09;70;6,3;7
01/10/2023;Mississippi;Marketing;VoIP;Thomson st3030;0,11;55;6,05;7
01/02/2024;Alberta;Ventes;Mobile;Apple iPhone;0,21;100;11,1;11
01/03/2024;Terre-Neuve-et-Labrador;Finance;Fixe;Logicom Nova 350;0,1;30;3;5
01/12/2024;Mississippi;RH;Mobile;Samsung Galaxy;0,09;50;4,5;8
01/12/2024;Pays;de;Mobile;Apple iPhone;0,12;5;0,6;10
01/03/2024;Hawaii;SI;Fixe;Siemens Gigaset a400;0,1;5;0,5;2
01/02/2021;West;Virginia;Mobile;LG G4;0,12;35;4,2;10
01/01/2022;Rhode;Island;Mobile;Samsung Galaxy;0,12;60;7,2;4
01/07/2021;Illinois;Ventes;Mobile;Apple iPhone;0,11;55;6,05;10
01/08/2022;Utah;Direction;Fixe;Siemens Gigaset a400;0,12;65;7,8;7
01/05/2021;New;Mexico;Mobile;LG G4;0,12;45;5,4;9
01/10/2021;Arizona;Ventes;VoIP;Thomson st3030;0,2;65;5,95;6
01/11/2023;Bretagne;SI;Fixe;Alcatel Versatis;0,1;55;5,5;6
01/07/2022;Occitanie;Direction;VoIP;Thomson st3030;0,1;50;5;7
01/02/2023;Colombie-Britannique;Marketing;VoIP;Cisco SPA 303;0,12;70;8,4;3
01/08/2024;Virginia;RH;Fixe;Logicom Nova 350;0,09;30;2,7;5
01/01/2022;Missouri;SI;Mobile;Apple iPhone;0,11;70;7,7;3
01/07/2024;Écosse;Direction;VoIP;Thomson st3030;0,12;30;3,6;3
01/11/2022;Alberta;R&D;Fixe;Logicom Nova 350;0,12;5;0,6;7
01/04/2023;Virginia;Direction;VoIP;Thomson st2030;0,11;50;5,5;8
01/08/2023;Provence-Alpes-Côte;d'Azur;VoIP;Cisco SPA 303;0,11;55;6,05;8
01/04/2023;Nouvelle-Écosse;Ventes;VoIP;Thomson st2030;0,1;70;7;7
01/01/2024;Pays;de;VoIP;Thomson st3030;0,09;75;6,75;5
01/04/2023;North;Carolina;Fixe;Logicom Nova 350;0,1;60;6;8
01/06/2023;Bourgogne-Franche-Comté;Finance;Fixe;Logicom Nova 350;0,11;40;4,4;9
01/02/2022;New;York;Mobile;Samsung Galaxy;0,11;55;6,05;4
01/08/2024;Texas;Production;VoIP;Cisco SPA 303;0,1;55;5,5;2
01/03/2024;Saskatchewan;Marketing;Fixe;Logicom Nova 350;0,11;65;7,15;8
01/07/2023;New;York;VoIP;Thomson st2030;0,12;50;6;3
01/10/2022;New;Mexico;Fixe;Logicom Nova 350;0,1;75;7,5;8
01/10/2023;Illinois;Ventes;VoIP;Thomson st3030;0,12;45;5,4;7
01/05/2022;Île-du-Prince-Édouard;Marketing;VoIP;Thomson st3030;0,12;10;1,2;5
01/06/2021;Occitanie;RH;Fixe;Logicom Nova 350;0,2;125;12,75;12
01/10/2023;Écosse;Achats;VoIP;Thomson st2030;0,1;75;7,5;8
01/04/2021;Provence-Alpes-Côte;d'Azur;Fixe;Alcatel Versatis;0,12;25;3;3
01/06/2022;Ontario;R&D;Fixe;Logicom Nova 350;0,12;25;3;10
01/03/2021;Nunavut;Juridique;Fixe;Alcatel Versatis;0,11;60;6,6;5
01/11/2022;Kentucky;RH;VoIP;Cisco SPA 303;0,11;10;1,1;4
01/08/2022;Illinois;Juridique;VoIP;Thomson st3030;0,09;20;1,8;9
01/01/2021;Indiana;Ventes;Mobile;Apple iPhone;0,09;20;1,8;8
01/01/2023;Occitanie;Direction;Mobile;Apple iPhone;0,09;30;2,7;3
01/10/2023;Maine;Finance;Mobile;Apple iPhone;0,12;45;5,4;6
01/06/2022;Occitanie;Production;VoIP;Cisco SPA 303;0,12;35;4,2;6
01/05/2021;Florida;SI;VoIP;Thomson st3030;0,1;50;5;4
01/02/2021;Bourgogne-Franche-Comté;R&D;Mobile;Samsung Galaxy;0,09;20;1,8;3
01/06/2024;Connecticut;RH;Fixe;Siemens Gigaset a400;0,09;45;4,05;7
01/07/2022;Kentucky;SI;VoIP;Cisco SPA 303;0,1;20;2;8
01/09/2021;Occitanie;Production;VoIP;Thomson st3030;0,12;20;2,4;2
01/04/2024;Massachusetts;Achats;Fixe;Siemens Gigaset a400;0,11;55;6,05;2
01/10/2022;New;York;Mobile;Samsung Galaxy;0,1;30;3;9
01/07/2023;South;Carolina;VoIP;Thomson st3030;0,1;55;5,5;10
01/05/2021;Occitanie;Direction;VoIP;Cisco SPA 303;0,09;10;0,9;5
01/08/2024;New;York;Fixe;Siemens Gigaset a400;0,1;10;1;5
01/08/2022;Idaho;Juridique;Fixe;Siemens Gigaset a400;0,11;10;1,1;7
01/11/2024;Alberta;R&D;Fixe;Alcatel Versatis;0,11;5;0,55;2
01/07/2021;California;Finance;Fixe;Alcatel Versatis;0,12;45;5,4;10
01/10/2024;Delaware;SI;VoIP;Thomson st2030;0,09;35;3,15;9
01/04/2024;Utah;Marketing;Mobile;Samsung Galaxy;0,11;25;2,75;9
01/05/2022;Illinois;SI;VoIP;Thomson st3030;0,12;50;6;3
01/12/2021;Occitanie;Production;Mobile;Samsung Galaxy;0,1;10;1;4
01/05/2023;Hauts-De-France;SI;Mobile;Apple iPhone;0,09;55;4,95;10
01/03/2024;Pays;de;VoIP;Thomson st2030;0,12;5;0,6;5
01/09/2024;Normandie;Production;Fixe;Logicom Nova 350;0,09;30;2,7;3
01/03/2024;Grand;Est;Fixe;Alcatel Versatis;0,11;75;8,25;7
01/04/2021;Rhode;Island;VoIP;Thomson st2030;0,11;60;6,6;8
01/01/2021;Bretagne;Production;VoIP;Thomson st2030;0,12;60;7,2;7
01/05/2024;Nouvelle-Écosse;Production;Mobile;Samsung Galaxy;0,1;60;6;3
01/12/2024;Corse;Production;Mobile;LG G4;0,11;40;4,4;8
01/01/2023;Pays;de;VoIP;Thomson st2030;0,1;10;1;2
01/11/2022;Mississippi;Ventes;Fixe;Siemens Gigaset a400;0,09;10;0,9;4
01/10/2021;Bourgogne-Franche-Comté;Direction;VoIP;Thomson st2030;0,11;70;7,7;6
01/10/2021;Georgia;Juridique;Fixe;Logicom Nova 350;0,11;60;6,6;5
01/04/2022;Massachusetts;SI;Fixe;Alcatel Versatis;0,11;20;2,2;2
01/06/2022;Saskatchewan;Direction;Mobile;LG G4;0,11;75;8,25;2
01/10/2021;Nebraska;Marketing;VoIP;Thomson st3030;0,1;30;3;10
01/09/2024;Yukon;Direction;Fixe;Alcatel Versatis;0,09;75;6,75;3
01/01/2023;Utah;Juridique;Mobile;LG G4;0,09;10;0,9;9
01/08/2022;Pays;de;Mobile;LG G4;0,1;20;2;6
01/11/2021;Delaware;Ventes;VoIP;Thomson st2030;0,12;40;4,8;9
01/02/2022;Kentucky;Achats;VoIP;Thomson st2030;0,09;65;5,85;6
01/09/2022;Arizona;Ventes;Fixe;Siemens Gigaset a400;0,09;35;3,15;8
01/12/2024;Iowa;Direction;Mobile;Apple iPhone;0,1;45;4,5;5
01/09/2022;Rhode;Island;Mobile;LG G4;0,11;65;7,15;6
01/04/2023;Montana;Ventes;VoIP;Thomson st3030;0,09;5;0,45;4
01/04/2022;Île-du-Prince-Édouard;Ventes;Fixe;Logicom Nova 350;0,1;60;6;5
01/12/2024;Pays;de;VoIP;Thomson st2030;0,11;75;8,25;6
01/08/2024;Nouvelle-Aquitaine;SI;Mobile;Samsung Galaxy;0,12;60;7,2;7
01/11/2023;New;York;VoIP;Thomson st3030;0,09;10;0,9;5
01/05/2022;Nouvelle-Écosse;Finance;VoIP;Thomson st2030;0,09;60;5,4;8
01/01/2021;Wyoming;Finance;Mobile;Samsung Galaxy;0,09;45;4,05;5
01/07/2021;Nouvelle-Aquitaine;RH;VoIP;Thomson st2030;0,1;15;1,5;9
01/04/2022;Alberta;Production;Mobile;Apple iPhone;0,1;10;1;9
01/09/2023;Centre-Val;de;VoIP;Thomson st3030;0,09;55;4,95;7
01/06/2021;Kansas;Juridique;Fixe;Logicom Nova 350;0,12;40;4,8;5
01/09/2021;North;Dakota;Mobile;LG G4;0,12;20;2,4;5
01/08/2024;Angleterre;Direction;VoIP;Thomson st3030;0,12;40;4,8;9
01/09/2023;Nevada;Marketing;VoIP;Thomson st3030;0,09;40;3,6;10
01/08/2024;Nouvelle-Aquitaine;Ventes;Mobile;LG G4;0,11;55;6,05;7
01/01/2024;Hauts-De-France;Achats;Mobile;Samsung Galaxy;0,12;45;5,4;5
01/06/2024;Oregon;Juridique;Mobile;LG G4;0,11;75;8,25;2
01/06/2022;Massachusetts;R&D;Mobile;Apple iPhone;0,12;70;8,4;3
01/01/2023;Québec;Marketing;Mobile;Samsung Galaxy;0,11;55;6,05;9
01/12/2023;Nouvelle-Aquitaine;SI;Mobile;Samsung Galaxy;0,12;60;7,2;6
01/09/2022;North;Dakota;VoIP;Cisco SPA 303;0,09;45;4,05;4
01/04/2022;Kentucky;R&D;VoIP;Thomson st3030;0,12;40;4,8;2
01/05/2021;Occitanie;Ventes;Fixe;Alcatel Versatis;0,12;35;4,2;10
01/09/2024;Manitoba;Ventes;VoIP;Thomson st2030;0,12;60;7,2;6
01/05/2024;Tennessee;Achats;Mobile;Apple iPhone;0,09;5;0,45;5
01/08/2021;Alaska;Achats;Fixe;Logicom Nova 350;0,12;15;1,8;4
01/11/2024;West;Virginia;VoIP;Thomson st3030;0,09;25;2,25;8
01/07/2024;Territoires;du;Mobile;LG G4;0,1;75;7,5;8
01/05/2023;Yukon;Direction;Fixe;Siemens Gigaset a400;0,12;60;7,2;9
01/10/2022;Saskatchewan;Achats;Fixe;Siemens Gigaset a400;0,12;20;2,4;7
01/01/2023;Washington;R&D;Mobile;LG G4;0,12;45;5,4;3
01/12/2022;Grand;Est;VoIP;Cisco SPA 303;0,11;20;2,2;4
01/08/2023;New;Hampshire;VoIP;Cisco SPA 303;0,09;45;4,05;10
01/11/2024;Utah;Production;Fixe;Alcatel Versatis;0,1;10;1;8
01/10/2024;Auvergne-Rhône-Alpes;Marketing;Fixe;Siemens Gigaset a400;0,1;15;1,5;5
01/02/2022;Nouveau-Brunswick;Direction;VoIP;Thomson st2030;0,1;70;7;2
01/07/2021;Utah;SI;Mobile;Apple iPhone;0,12;65;7,8;10
01/01/2024;Angleterre;SI;Mobile;Samsung Galaxy;0,11;20;2,2;8
01/03/2022;Provence-Alpes-Côte;d'Azur;VoIP;Thomson st3030;0,1;50;5;9
01/01/2023;Mississippi;Ventes;VoIP;Thomson st3030;0,11;55;6,05;5
01/04/2024;Florida;Finance;Mobile;Apple iPhone;0,11;5;0,55;9
01/08/2023;Terre-Neuve-et-Labrador;RH;VoIP;Thomson st3030;0,11;60;6,6;6
01/01/2023;New;York;Mobile;Apple iPhone;0,12;5;0,6;5
